"No.","Time","Source","Destination","Protocol","Length","Info"
"11681","69.998444","192.168.18.24","192.168.18.21","TCP","74","45944  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076541 TSecr=0 WS=128"
"11682","69.998444","192.168.18.24","192.168.18.21","HTTP","476","GET /?8vxSNrA3dy=xUacl8shreFMK1&vtNoXrUFc=c0tAcCc&NVescRp7q=Rina1g&qt1=Ut88uDPJxavltvE0&cvdWkbELbK=l36xALucyKaSw344 HTTP/1.1 "
"11683","69.998483","192.168.18.21","192.168.18.24","TCP","66","80  >  45854 [ACK] Seq=1 Ack=457 Win=64768 Len=0 TSval=4274489104 TSecr=3500076540"
"11684","69.998680","192.168.18.21","192.168.18.24","TCP","74","80  >  45944 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489104 TSecr=3500076541 WS=128"
"11685","69.998855","192.168.18.21","192.168.18.24","TCP","66","80  >  45866 [ACK] Seq=1 Ack=411 Win=64768 Len=0 TSval=4274489104 TSecr=3500076541"
"11686","69.999120","192.168.18.24","192.168.18.21","TCP","74","45952  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076541 TSecr=0 WS=128"
"11687","69.999120","192.168.18.24","192.168.18.21","HTTP","446","GET /?jnmaaODn=BBqTYI4NCgE&xkjsc=kqcT7R&rWqCkBYm4=ONC1PqpWR HTTP/1.1 "
"11688","69.999121","192.168.18.24","192.168.18.21","HTTP","443","GET /?H0tFNfYPUQ=yEk5UQ&GHP6tX=C6AdmV8Q&uHEjQqa=vADlmLYGXLW4jp&W5JnxFp=XYI HTTP/1.1 "
"11689","69.999121","192.168.18.24","192.168.18.21","TCP","74","45968  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076541 TSecr=0 WS=128"
"11690","69.999121","192.168.18.24","192.168.18.21","HTTP","698","GET /?u3D=u8bCkeTlGEG&Y3m6P=FEifDppjLhvmkO2iN&QRf=fGV&1xYkMrS=FUUkVVlyk2qRBtrkos5&vtHDTivOt3=Mi64Fu0fEy1fg HTTP/1.1 "
"11691","69.999121","192.168.18.24","192.168.18.21","TCP","74","45974  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076542 TSecr=0 WS=128"
"11692","69.999121","192.168.18.24","192.168.18.21","TCP","74","45978  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076542 TSecr=0 WS=128"
"11693","69.999149","192.168.18.21","192.168.18.24","TCP","74","80  >  45952 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489105 TSecr=3500076541 WS=128"
"11694","69.999355","192.168.18.21","192.168.18.24","TCP","66","80  >  45898 [ACK] Seq=1 Ack=381 Win=64896 Len=0 TSval=4274489105 TSecr=3500076541"
"11695","69.999933","192.168.18.21","192.168.18.24","TCP","66","80  >  45870 [ACK] Seq=1 Ack=378 Win=64896 Len=0 TSval=4274489106 TSecr=3500076541"
"11696","70.000128","192.168.18.21","192.168.18.24","TCP","74","80  >  45968 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489106 TSecr=3500076541 WS=128"
"11697","70.000326","192.168.18.21","192.168.18.24","TCP","66","80  >  45882 [ACK] Seq=1 Ack=633 Win=64640 Len=0 TSval=4274489106 TSecr=3500076541"
"11698","70.000511","192.168.18.21","192.168.18.24","TCP","74","80  >  45974 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489106 TSecr=3500076542 WS=128"
"11699","70.000676","192.168.18.21","192.168.18.24","TCP","74","80  >  45978 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489106 TSecr=3500076542 WS=128"
"11700","70.003028","192.168.18.24","192.168.18.21","TCP","66","45910  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076543 TSecr=4274489100"
"11701","70.003029","192.168.18.24","192.168.18.21","HTTP","516","GET /?B0CMgN=B4ya1lYPEeGMgVXU&Cs35N=TlW&256tW=QSRtu&w5ajrRcHJ=wLkLGN2x5vI5g HTTP/1.1 "
"11702","70.003029","192.168.18.24","192.168.18.21","TCP","66","45914  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076544 TSecr=4274489101"
"11703","70.003029","192.168.18.24","192.168.18.21","TCP","66","45922  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076544 TSecr=4274489101"
"11704","70.003029","192.168.18.24","192.168.18.21","TCP","66","45926  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076544 TSecr=4274489102"
"11705","70.003029","192.168.18.24","192.168.18.21","HTTP","403","GET /?8Gjdge6OgL=g01RvUXDJ&Lb4E=uwyyvTMe5nhCHoK4gKRu HTTP/1.1 "
"11706","70.003029","192.168.18.24","192.168.18.21","TCP","74","45980  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076545 TSecr=0 WS=128"
"11707","70.003029","192.168.18.24","192.168.18.21","HTTP","540","GET /?JyiNMNAV=8qb7b&2Qa312eV=GWdguRIbBY41t HTTP/1.1 "
"11708","70.003078","192.168.18.21","192.168.18.24","TCP","66","80  >  45910 [ACK] Seq=1 Ack=451 Win=64768 Len=0 TSval=4274489109 TSecr=3500076544"
"11709","70.003349","192.168.18.21","192.168.18.24","TCP","66","80  >  45914 [ACK] Seq=1 Ack=338 Win=64896 Len=0 TSval=4274489109 TSecr=3500076544"
"11710","70.004203","192.168.18.21","192.168.18.24","TCP","74","80  >  45980 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489110 TSecr=3500076545 WS=128"
"11711","70.004407","192.168.18.21","192.168.18.24","TCP","66","80  >  45922 [ACK] Seq=1 Ack=475 Win=64768 Len=0 TSval=4274489110 TSecr=3500076545"
"11712","70.004595","192.168.18.24","192.168.18.21","TCP","74","45982  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076545 TSecr=0 WS=128"
"11713","70.004595","192.168.18.24","192.168.18.21","HTTP","632","GET /?I1ACkXs=nCscpFIAiWi0pCrKXfD&twsilcFxTJ=S0u HTTP/1.1 "
"11714","70.004595","192.168.18.24","192.168.18.21","TCP","74","45986  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076545 TSecr=0 WS=128"
"11715","70.004595","192.168.18.24","192.168.18.21","TCP","74","46000  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076546 TSecr=0 WS=128"
"11716","70.004595","192.168.18.24","192.168.18.21","TCP","66","45930  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076547 TSecr=4274489103"
"11717","70.004595","192.168.18.24","192.168.18.21","TCP","66","45944  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076547 TSecr=4274489104"
"11718","70.004595","192.168.18.24","192.168.18.21","HTTP","517","GET /?sk5Gmq=Eh2uc06p7p1OdOsO&h5sY8VU38y=cqFXiCcPxoksx&jyp0BW0=LxlK112qShEfeCFaFgd HTTP/1.1 "
"11719","70.004595","192.168.18.24","192.168.18.21","TCP","74","46002  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076547 TSecr=0 WS=128"
"11720","70.004624","192.168.18.21","192.168.18.24","TCP","74","80  >  45982 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489110 TSecr=3500076545 WS=128"
"11721","70.004799","192.168.18.21","192.168.18.24","TCP","66","80  >  45926 [ACK] Seq=1 Ack=567 Win=64640 Len=0 TSval=4274489110 TSecr=3500076545"
"11722","70.004988","192.168.18.21","192.168.18.24","TCP","74","80  >  45986 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489111 TSecr=3500076545 WS=128"
"11723","70.005152","192.168.18.21","192.168.18.24","TCP","74","80  >  46000 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489111 TSecr=3500076546 WS=128"
"11724","70.005330","192.168.18.21","192.168.18.24","TCP","66","80  >  45930 [ACK] Seq=1 Ack=452 Win=64768 Len=0 TSval=4274489111 TSecr=3500076547"
"11725","70.005527","192.168.18.21","192.168.18.24","TCP","74","80  >  46002 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489111 TSecr=3500076547 WS=128"
"11726","70.005844","192.168.18.24","192.168.18.21","HTTP","656","GET /?Bs5t=Xf5LkUpdr&QdVTR7fP=qL0c8Hy7V&3cXbiH=fECwTft65qry65Fer HTTP/1.1 "
"11727","70.005844","192.168.18.24","192.168.18.21","TCP","74","46008  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076548 TSecr=0 WS=128"
"11728","70.005844","192.168.18.24","192.168.18.21","TCP","66","45952  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076550 TSecr=4274489105"
"11729","70.005877","192.168.18.21","192.168.18.24","TCP","66","80  >  45944 [ACK] Seq=1 Ack=591 Win=64640 Len=0 TSval=4274489111 TSecr=3500076547"
"11730","70.006061","192.168.18.21","192.168.18.24","TCP","74","80  >  46008 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489112 TSecr=3500076548 WS=128"
"11731","70.007189","192.168.18.24","192.168.18.21","TCP","66","45968  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076550 TSecr=4274489106"
"11732","70.007189","192.168.18.24","192.168.18.21","TCP","66","45974  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076550 TSecr=4274489106"
"11733","70.007190","192.168.18.24","192.168.18.21","TCP","66","45978  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076550 TSecr=4274489106"
"11734","70.007190","192.168.18.24","192.168.18.21","HTTP","560","GET /?taTbB7l7t=7XBtuc1gh8eqeAOKmEj&c8hrlBlxg=aGsXcXVNdke8rQQq&wm07=KGGvKpIVIXj0Fm&lGo5j5b1hV=jJigGSnBv28c6PhGb1Tt&R46vID3=uAr60W8edIKAmBfsIjU HTTP/1.1 "
"11735","70.007229","192.168.18.21","192.168.18.24","TCP","66","80  >  45974 [ACK] Seq=1 Ack=495 Win=64768 Len=0 TSval=4274489113 TSecr=3500076550"
"11736","70.008190","192.168.18.24","192.168.18.21","TCP","74","46020  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076550 TSecr=0 WS=128"
"11737","70.008190","192.168.18.24","192.168.18.21","HTTP","461","GET /?TRk8=DKc2LSMONoqtYu&KsmDNxLIA=TTpOk HTTP/1.1 "
"11738","70.008190","192.168.18.24","192.168.18.21","HTTP","600","GET /?qGPEMeIP=R3IQoVGhBabaJw4y6 HTTP/1.1 "
"11739","70.008190","192.168.18.24","192.168.18.21","TCP","74","46034  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076551 TSecr=0 WS=128"
"11740","70.008190","192.168.18.24","192.168.18.21","HTTP","611","GET /?1cpD=Bawv7IxKQfEpD6a&SFqLByX0j=8uaCqG&ACvp=xkO&sTR2Vsx=haj&y4NX=KJNq0ehBpPRoT7JR47 HTTP/1.1 "
"11741","70.008191","192.168.18.24","192.168.18.21","TCP","74","46036  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076551 TSecr=0 WS=128"
"11742","70.008220","192.168.18.21","192.168.18.24","TCP","74","80  >  46020 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489114 TSecr=3500076550 WS=128"
"11743","70.008393","192.168.18.21","192.168.18.24","TCP","66","80  >  45952 [ACK] Seq=1 Ack=396 Win=64768 Len=0 TSval=4274489114 TSecr=3500076550"
"11744","70.008592","192.168.18.21","192.168.18.24","TCP","66","80  >  45978 [ACK] Seq=1 Ack=535 Win=64640 Len=0 TSval=4274489114 TSecr=3500076551"
"11745","70.008780","192.168.18.21","192.168.18.24","TCP","74","80  >  46034 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489114 TSecr=3500076551 WS=128"
"11746","70.008954","192.168.18.21","192.168.18.24","TCP","66","80  >  45968 [ACK] Seq=1 Ack=546 Win=64640 Len=0 TSval=4274489115 TSecr=3500076551"
"11747","70.009143","192.168.18.21","192.168.18.24","TCP","74","80  >  46036 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489115 TSecr=3500076551 WS=128"
"11748","70.011385","192.168.18.24","192.168.18.21","TCP","74","46052  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076551 TSecr=0 WS=128"
"11749","70.011386","192.168.18.24","192.168.18.21","TCP","66","45980  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076553 TSecr=4274489110"
"11750","70.011386","192.168.18.24","192.168.18.21","HTTP","564","GET /?PalBg8VLMs=OBSPOOiDCpgxJSmj0CwM&Kpg3Ap5J=G3cW4kgQHgq45Hg HTTP/1.1 "
"11751","70.011386","192.168.18.24","192.168.18.21","TCP","74","46062  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076554 TSecr=0 WS=128"
"11752","70.011386","192.168.18.24","192.168.18.21","TCP","66","45982  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076555 TSecr=4274489110"
"11753","70.011386","192.168.18.24","192.168.18.21","TCP","66","45986  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076555 TSecr=4274489111"
"11754","70.011386","192.168.18.24","192.168.18.21","TCP","66","46000  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076555 TSecr=4274489111"
"11755","70.011386","192.168.18.24","192.168.18.21","TCP","66","46002  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076555 TSecr=4274489111"
"11756","70.011415","192.168.18.21","192.168.18.24","TCP","74","80  >  46052 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489117 TSecr=3500076551 WS=128"
"11757","70.011607","192.168.18.21","192.168.18.24","TCP","66","80  >  45980 [ACK] Seq=1 Ack=499 Win=64768 Len=0 TSval=4274489117 TSecr=3500076554"
"11758","70.011796","192.168.18.21","192.168.18.24","TCP","74","80  >  46062 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489117 TSecr=3500076554 WS=128"
"11759","70.012038","192.168.18.24","192.168.18.21","HTTP","322","GET /?doJG=rqn3E HTTP/1.1 "
"11760","70.012038","192.168.18.24","192.168.18.21","TCP","74","46072  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076555 TSecr=0 WS=128"
"11761","70.012090","192.168.18.21","192.168.18.24","TCP","66","80  >  45986 [ACK] Seq=1 Ack=257 Win=65024 Len=0 TSval=4274489118 TSecr=3500076555"
"11762","70.012275","192.168.18.21","192.168.18.24","TCP","74","80  >  46072 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489118 TSecr=3500076555 WS=128"
"11763","70.013768","192.168.18.24","192.168.18.21","HTTP","476","GET /?5bdMxkdKO=VqKHwT&DcTeyw5=nDFcg4M116F02m&yXDxb=Obkqadx65KuaaxCKyE8 HTTP/1.1 "
"11764","70.013800","192.168.18.21","192.168.18.24","TCP","66","80  >  46002 [ACK] Seq=1 Ack=411 Win=64768 Len=0 TSval=4274489119 TSecr=3500076555"
"11765","70.014765","192.168.18.24","192.168.18.21","TCP","74","46074  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076555 TSecr=0 WS=128"
"11766","70.014765","192.168.18.24","192.168.18.21","TCP","66","46008  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076556 TSecr=4274489112"
"11767","70.014765","192.168.18.24","192.168.18.21","HTTP","377","GET /?VTNuKq=N8kIGPTP&30a64brdU=FNG6mTgqVPGEEqsq3C HTTP/1.1 "
"11768","70.014765","192.168.18.24","192.168.18.21","TCP","74","46088  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076556 TSecr=0 WS=128"
"11769","70.014765","192.168.18.24","192.168.18.21","HTTP","448","GET /?QaKJkd=mGcO4GRl&JcAG=lSPSL7LafqU HTTP/1.1 "
"11770","70.014765","192.168.18.24","192.168.18.21","TCP","74","46090  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076556 TSecr=0 WS=128"
"11771","70.014765","192.168.18.24","192.168.18.21","HTTP","699","GET /?bH8JGvtI=DPuB&2IBUP=iuVAlr&rtwSDi1q=8nD0CjuMU&o2aAx1eX=N05RIUKvSkP2e8Mj1d50&g7GoK=3xro25fCL HTTP/1.1 "
"11772","70.014794","192.168.18.21","192.168.18.24","TCP","74","80  >  46074 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489120 TSecr=3500076555 WS=128"
"11773","70.014966","192.168.18.21","192.168.18.24","TCP","66","80  >  46008 [ACK] Seq=1 Ack=312 Win=64896 Len=0 TSval=4274489121 TSecr=3500076556"
"11774","70.015538","192.168.18.21","192.168.18.24","TCP","74","80  >  46088 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489121 TSecr=3500076556 WS=128"
"11775","70.015716","192.168.18.21","192.168.18.24","TCP","66","80  >  45982 [ACK] Seq=1 Ack=383 Win=64896 Len=0 TSval=4274489121 TSecr=3500076556"
"11776","70.015903","192.168.18.21","192.168.18.24","TCP","74","80  >  46090 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489122 TSecr=3500076556 WS=128"
"11777","70.016078","192.168.18.21","192.168.18.24","TCP","66","80  >  46000 [ACK] Seq=1 Ack=634 Win=64640 Len=0 TSval=4274489122 TSecr=3500076556"
"11778","70.016928","192.168.18.24","192.168.18.21","TCP","66","46020  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076557 TSecr=4274489114"
"11779","70.016928","192.168.18.24","192.168.18.21","HTTP","421","GET /?TK2O2jXi=6YE&8vveURc=3D5XVKPcMeT&nkI=Q8carQsjhujI7wSw7&BkJ=MGaD3HOqROmpbW HTTP/1.1 "
"11780","70.016928","192.168.18.24","192.168.18.21","TCP","74","46104  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076557 TSecr=0 WS=128"
"11781","70.016928","192.168.18.24","192.168.18.21","TCP","66","46034  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076558 TSecr=4274489114"
"11782","70.016928","192.168.18.24","192.168.18.21","TCP","66","46036  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076558 TSecr=4274489115"
"11783","70.016928","192.168.18.24","192.168.18.21","HTTP","502","GET /?EEDt=mFL HTTP/1.1 "
"11784","70.016928","192.168.18.24","192.168.18.21","TCP","74","46118  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076558 TSecr=0 WS=128"
"11785","70.016929","192.168.18.24","192.168.18.21","HTTP","614","GET /?2oRkMVqqh=ApOfju6sF4J0 HTTP/1.1 "
"11786","70.016964","192.168.18.21","192.168.18.24","TCP","66","80  >  46020 [ACK] Seq=1 Ack=356 Win=64896 Len=0 TSval=4274489123 TSecr=3500076557"
"11787","70.017151","192.168.18.21","192.168.18.24","TCP","74","80  >  46104 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489123 TSecr=3500076557 WS=128"
"11788","70.017351","192.168.18.21","192.168.18.24","TCP","66","80  >  46036 [ACK] Seq=1 Ack=437 Win=64768 Len=0 TSval=4274489123 TSecr=3500076558"
"11789","70.017554","192.168.18.21","192.168.18.24","TCP","74","80  >  46118 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489123 TSecr=3500076558 WS=128"
"11790","70.017748","192.168.18.21","192.168.18.24","TCP","66","80  >  46034 [ACK] Seq=1 Ack=549 Win=64640 Len=0 TSval=4274489123 TSecr=3500076558"
"11791","70.018010","192.168.18.24","192.168.18.21","TCP","74","46134  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076558 TSecr=0 WS=128"
"11792","70.018010","192.168.18.24","192.168.18.21","TCP","74","46150  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076559 TSecr=0 WS=128"
"11793","70.018010","192.168.18.24","192.168.18.21","TCP","66","46052  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076561 TSecr=4274489117"
"11794","70.018010","192.168.18.24","192.168.18.21","TCP","66","46062  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076561 TSecr=4274489117"
"11795","70.018036","192.168.18.21","192.168.18.24","TCP","74","80  >  46134 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489124 TSecr=3500076558 WS=128"
"11796","70.018197","192.168.18.21","192.168.18.24","TCP","74","80  >  46150 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489124 TSecr=3500076559 WS=128"
"11797","70.019524","192.168.18.24","192.168.18.21","TCP","66","46072  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076561 TSecr=4274489118"
"11798","70.019524","192.168.18.24","192.168.18.21","HTTP","713","GET /?mKx=Sy6QAJCdT6Te&mmX80f0e5=LCW2&gEDj=jo3m5&PRV5y=VpOwN5J1otcc HTTP/1.1 "
"11799","70.019524","192.168.18.24","192.168.18.21","HTTP","380","GET /?BmCHN=pwgCuum&jEPmeRU=n3lWBp1Jx5&BhpOw=XuOdpHU&r4XPA=dpHQceSL HTTP/1.1 "
"11800","70.019524","192.168.18.24","192.168.18.21","TCP","74","46152  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076562 TSecr=0 WS=128"
"11801","70.019524","192.168.18.24","192.168.18.21","HTTP","369","GET /?TSRopYuXeJ=CLukr7hgtYEUWoIy5ny HTTP/1.1 "
"11802","70.019524","192.168.18.24","192.168.18.21","TCP","74","46158  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076562 TSecr=0 WS=128"
"11803","70.019524","192.168.18.24","192.168.18.21","TCP","74","46174  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076562 TSecr=0 WS=128"
"11804","70.019563","192.168.18.21","192.168.18.24","TCP","66","80  >  46062 [ACK] Seq=1 Ack=648 Win=64640 Len=0 TSval=4274489125 TSecr=3500076561"
"11805","70.019764","192.168.18.21","192.168.18.24","TCP","66","80  >  46052 [ACK] Seq=1 Ack=315 Win=64896 Len=0 TSval=4274489125 TSecr=3500076562"
"11806","70.019955","192.168.18.21","192.168.18.24","TCP","74","80  >  46152 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489126 TSecr=3500076562 WS=128"
"11807","70.020138","192.168.18.21","192.168.18.24","TCP","66","80  >  46072 [ACK] Seq=1 Ack=304 Win=64896 Len=0 TSval=4274489126 TSecr=3500076562"
"11808","70.020342","192.168.18.21","192.168.18.24","TCP","74","80  >  46158 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489126 TSecr=3500076562 WS=128"
"11809","70.020505","192.168.18.21","192.168.18.24","TCP","74","80  >  46174 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489126 TSecr=3500076562 WS=128"
"11810","70.021409","192.168.18.24","192.168.18.21","TCP","66","46074  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076564 TSecr=4274489120"
"11811","70.021409","192.168.18.24","192.168.18.21","TCP","66","46088  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076564 TSecr=4274489121"
"11812","70.021410","192.168.18.24","192.168.18.21","TCP","66","46090  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076564 TSecr=4274489122"
"11813","70.021410","192.168.18.24","192.168.18.21","HTTP","392","GET /?y4EPUB=Cwtd1VuE3SPn0rS35F&jAGt=4FAFQ5 HTTP/1.1 "
"11814","70.021446","192.168.18.21","192.168.18.24","TCP","66","80  >  46074 [ACK] Seq=1 Ack=327 Win=64896 Len=0 TSval=4274489127 TSecr=3500076564"
"11815","70.022360","192.168.18.24","192.168.18.21","HTTP","340","GET /?IbM=DTE6l5tD&mCfQBF=JX5LPMyp&n5KtrsYN=1V6G5Dkk HTTP/1.1 "
"11816","70.022402","192.168.18.21","192.168.18.24","TCP","66","80  >  46090 [ACK] Seq=1 Ack=275 Win=64896 Len=0 TSval=4274489128 TSecr=3500076565"
"11817","70.023778","192.168.18.24","192.168.18.21","TCP","74","46182  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076565 TSecr=0 WS=128"
"11818","70.023779","192.168.18.24","192.168.18.21","HTTP","469","GET /?abA1Re1=SRJo6QvhaYD8N0O&geDnLl=DEg HTTP/1.1 "
"11819","70.023779","192.168.18.24","192.168.18.21","TCP","74","46194  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076565 TSecr=0 WS=128"
"11820","70.023779","192.168.18.24","192.168.18.21","TCP","74","46210  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3500076566 TSecr=0 WS=128"
"11821","70.023779","192.168.18.24","192.168.18.21","TCP","66","46104  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076566 TSecr=4274489123"
"11822","70.023809","192.168.18.21","192.168.18.24","TCP","74","80  >  46182 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489129 TSecr=3500076565 WS=128"
"11823","70.023993","192.168.18.21","192.168.18.24","TCP","66","80  >  46088 [ACK] Seq=1 Ack=404 Win=64768 Len=0 TSval=4274489130 TSecr=3500076565"
"11824","70.024181","192.168.18.21","192.168.18.24","TCP","74","80  >  46194 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489130 TSecr=3500076565 WS=128"
"11825","70.024350","192.168.18.21","192.168.18.24","TCP","74","80  >  46210 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=4274489130 TSecr=3500076566 WS=128"
"11826","70.025860","192.168.18.24","192.168.18.21","TCP","66","46118  >  80 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=3500076566 TSecr=4274489123"
